,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
10,인천광역시 서구 장고개로337번길 18-19,(가좌동),2,,A04,A0401,A04010200,2768173,38,20211104200341,http://tong.visitkorea.or.kr/cms/resource/54/2781354_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2781354_image2_1.jpg,126.6834110718,37.4941962868,6,20230321094513,7,,가좌시장,22810
11,인천광역시 연수구 청량로102번길 40-9,,2,0,A02,A0206,A02060100,130105,14,20060724090000,http://tong.visitkorea.or.kr/cms/resource/75/1579175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1579175_image3_1.jpg,126.6576044255,37.4182241030,6,20220720095907,8,032-833-4747,가천박물관,21942
12,인천광역시 서구 대곡로368번길 25,,2,,A05,A0502,A05020100,2844590,39,20220826145550,http://tong.visitkorea.or.kr/cms/resource/81/2844581_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2844581_image3_1.jpg,126.6573818608,37.6305882921,6,20220826145606,7,,가현산 잔치국수,22600
13,인천광역시 연수구 센트럴로 123 송도컨벤시아,"1층 M23,24호",2,,A05,A0502,A05020100,2853680,39,20220914170545,http://tong.visitkorea.or.kr/cms/resource/74/2853674_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2853674_image3_1.jpg,126.6466173186,37.3900244069,6,20220914170558,8,,가회동샤브칼국수 송도컨벤시아점,21998
14,인천광역시 남동구 백범로 312-1,(간석동),2,,A04,A0401,A04010200,2766259,38,20211102184528,http://tong.visitkorea.or.kr/cms/resource/60/2780960_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2780960_image2_1.jpg,126.7153756657,37.4639420354,6,20230303110938,4,,간석자유시장,21511
15,인천광역시 동구 보세로 6-1,,2,,A03,A0303,A03030600,131845,28,20060412090000,,,126.6229917663,37.4876876432,6,20230414111000,5,032-765-4191,갈매기배낚시,22501
16,인천광역시 서구 가정로98번길 18,(가좌동),2,0,A02,A0202,A02020700,2767573,12,20211103190015,http://tong.visitkorea.or.kr/cms/resource/58/2781358_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2781358_image2_1.jpg,126.6736203249,37.4932378921,6,20221205114300,7,,감중공원,22838
17,인천광역시 강화군 강화읍 해안동로1366번길 18,,2,0,A02,A0201,A02010200,1254680,12,20110412020054,http://tong.visitkorea.or.kr/cms/resource/72/1579072_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1579072_image3_1.jpg,126.5171140395,37.7335377029,6,20220512103346,1,,갑곶돈대,23027
18,인천광역시 강화군 강화읍 해안동로1366번길 35,,2,0,A02,A0201,A02010900,2768133,12,20211104194215,http://tong.visitkorea.or.kr/cms/resource/26/2780626_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/26/2780626_image2_1.png,126.5174945418,37.7341959658,6,20221024153016,1,,갑곶순교성지,23027
19,인천광역시 서구 청마로112번길 22,,2,,A05,A0502,A05020100,2891630,39,20221031161627,http://tong.visitkorea.or.kr/cms/resource/93/2878093_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2878093_image3_1.jpg,126.6760397064,37.5871242373,6,20221031161645,7,,강릉해변메밀막국수인천검단점,22678
20,인천광역시 강화군 교동면 대룡안길54번길 24,,2,,A05,A0502,A05020900,2754451,39,20211007184037,,,126.2807593780,37.7817918077,6,20221130131021,1,,강만장,23002
21,인천광역시 서구 담지로86번길5-41,(청라동),2,,A05,A0502,A05020100,2703381,39,20210111185939,,,126.6622506718,37.5379602685,6,20221004150046,7,032-565-9263,강선생막국수,22733
22,인천광역시 강화군 강화읍 동문로 119,(강화읍),2,0,A01,A0101,A01010500,1619788,12,20120501020349,http://tong.visitkorea.or.kr/cms/resource/80/1579080_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1579080_image3_1.jpg,126.4948543916,37.7541460175,6,20220623171129,1,,강화 갑곶리 탱자나무,23022
23,인천광역시 강화군 하점면 부근리,,2,1,A02,A0201,A02010700,125565,12,20060302090000,http://tong.visitkorea.or.kr/cms/resource/77/1876577_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/1876577_image3_1.jpg,126.4374730037,37.7734344221,6,20220519190554,1,,강화 고인돌 유적 [유네스코 세계문화유산],23014
24,인천광역시 강화군 양도면 강화남로921번길 10-6,,2,0,A02,A0203,A02030100,800798,12,20090910185833,http://tong.visitkorea.or.kr/cms/resource/56/2512556_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2512556_image2_1.jpg,126.4164969660,37.6803032508,6,20230410110912,1,,강화 달빛동화마을,23056
25,인천광역시 강화군 불은면 덕진로 34,,2,0,A02,A0201,A02010200,127185,12,20040224090000,http://tong.visitkorea.or.kr/cms/resource/67/1579067_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/1579067_image3_1.jpg,126.5237018914,37.6496170469,6,20220411094931,1,,강화 덕진진,23047
26,인천광역시 강화군 화도면 해안남로 1481,,2,0,A01,A0101,A01011200,127291,12,20060302090000,http://tong.visitkorea.or.kr/cms/resource/15/2003415_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2003415_image3_1.jpg,126.4570623331,37.5932918804,6,20230313094034,1,,강화 동막해변,23062
27,인천광역시 강화군 화도면 해안남로1114번길 6,,2,0,A01,A0101,A01010500,128817,12,20060308090000,,,126.4567228313,37.6165030596,6,20220603133419,1,,강화 사기리 탱자나무,23059
28,인천광역시 강화군 서도면 주문도길 256-1,,2,0,A02,A0201,A02010900,250326,12,20071023090000,,,126.2442776542,37.6436850663,6,20230314131953,1,,강화 서도 중앙교회,23008
29,인천광역시 강화군 강화읍 국화리,,2,0,A02,A0201,A02010300,128813,12,20060306090000,http://tong.visitkorea.or.kr/cms/resource/52/2512552_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2512552_image2_1.jpg,126.4756785763,37.7468243111,6,20221007145528,1,,강화 석수문,23033
30,인천광역시 강화군 선원면 선원사지로 222,,2,0,A02,A0201,A02010700,250304,12,20071022090000,http://tong.visitkorea.or.kr/cms/resource/47/1577247_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/1577247_image3_1.jpg,126.4924889291,37.7188250962,6,20230414170603,1,,강화 선원사지,23042
31,인천광역시 강화군 불은면 중앙로 742-2,,2,0,A02,A0204,A02040800,971122,12,20100311195104,http://tong.visitkorea.or.kr/cms/resource/58/2490358_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/2490358_image2_1.JPG,126.4347557746,37.7029259337,6,20221109150145,1,,강화 아르미애월드,23038
32,인천광역시 강화군 송해면 전망대로423번길 161,,2,,A02,A0207,A02070200,2643189,15,20200109003349,http://tong.visitkorea.or.kr/cms/resource/20/2936620_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2936620_image3_1.jpg,126.4438577810,37.8001841894,6,20221229151554,1,032-933-3266,강화 양오낚시터 빙어축제,23013
33,인천광역시 강화군 내가면 황청포구로385번길 8,,2,0,A02,A0203,A02030100,128385,12,20050419090000,http://tong.visitkorea.or.kr/cms/resource/15/2512715_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2512715_image2_1.jpg,126.3604121578,37.7184755935,6,20230113094112,1,,강화 용두레마을,23017
34,인천광역시 강화군 강화읍 관청길27번길 10,,2,0,A02,A0203,A02030400,2684765,12,20201123224639,,,126.4861109075,37.7484743032,6,20230327102934,1,,강화 원도심 스토리워크,23031
35,인천광역시 강화군 강화읍 강화대로 335,,2,,A04,A0401,A04010600,1177090,38,20110119020457,http://tong.visitkorea.or.kr/cms/resource/72/1163172_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1163172_image3_1.jpg,126.4924882782,37.7421168236,6,20221020162915,1,032-933-8913,강화 인삼센터,23027
36,인천광역시 강화군 강화읍,(강화읍),2,,A03,A0302,A03020500,1074812,28,20100817023020,,,126.4880330099,37.7464579051,6,20230217111054,1,032-930-3731,강화 자전거 관광코스,23031
37,인천광역시 강화군 하점면 장정리,,2,0,A02,A0201,A02010700,128823,12,20060308090000,http://tong.visitkorea.or.kr/cms/resource/03/183103_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/183103_image3_1.jpg,126.4256099947,37.7808861210,6,20221025102920,1,,강화 장정리 석조여래입상,23014
38,인천광역시 강화군 하점면 장정리,산 193,2,0,A02,A0201,A02010700,128824,12,20060308090000,http://tong.visitkorea.or.kr/cms/resource/05/183105_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/183105_image3_1.jpg,126.4203938355,37.7798472622,6,20220617111306,1,,강화 장정리 오층석탑,23014
39,인천광역시 강화군 길상면 전등사로 37-41,,2,0,A02,A0201,A02010800,125534,12,20040224090000,http://tong.visitkorea.or.kr/cms/resource/38/2675538_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2675538_image2_1.jpg,126.4829144565,37.6316934164,6,20230509101605,1,,강화 전등사,23050
40,인천광역시 강화군 강화읍 강화대로 429,(강화읍),2,,A04,A0401,A04010200,1178052,38,20110120013428,http://tong.visitkorea.or.kr/cms/resource/80/1163180_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1163180_image3_1.jpg,126.4835250274,37.7486936757,6,20220520165150,1,032-933-7104,강화 중앙시장,23033
41,인천광역시 강화군 화도면 흥왕리,,2,1,A02,A0201,A02010900,127802,12,20040224090000,http://tong.visitkorea.or.kr/cms/resource/41/217641_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/217641_image3_1.jpg,126.4315502058,37.6139668020,6,20220829172051,1,,강화 참성단,23059
42,인천광역시 강화군 길상면 해안동로 58,,2,1,A02,A0201,A02010200,128030,12,20040224090000,http://tong.visitkorea.or.kr/cms/resource/34/1577834_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1577834_image3_1.jpg,126.5322543599,37.6326163996,6,20220525163118,1,,강화 초지진,23049
43,인천광역시 강화군 강화읍 중앙로 17-9,,2,,A04,A0401,A04010200,1039977,38,20100609192025,http://tong.visitkorea.or.kr/cms/resource/17/1162117_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1162117_image3_1.jpg,126.4928438212,37.7414252440,6,20220518145544,1,"032-930-7042,3",강화 풍물시장,23027
44,인천 강화군 강화읍 국화리,산180번지,2,0,A02,A0201,A02010700,125566,12,20040224090000,,,126.4393070303,37.7425658342,6,20221005173009,1,,강화 홍릉,"417-804,1"
45,인천광역시 강화군 송해면 전망대로468번길 11,,2,0,A02,A0203,A02030100,129291,12,20061031090000,http://tong.visitkorea.or.kr/cms/resource/10/2512610_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2512610_image2_1.jpg,126.4584675001,37.8020036798,6,20230322132254,1,,강화 화문석마을,23013
46,인천광역시 강화군 화도면 여차리,,2,0,A01,A0101,A01010500,1705415,12,20120831235548,http://tong.visitkorea.or.kr/cms/resource/06/643606_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/643606_image3_1.jpg,126.3830825604,37.6089332063,6,20230105103013,1,,강화갯벌 및 저어새번식지,23061
47,인천광역시 강화군 하점면 장정리 989,,2,,A03,A0302,A03021700,2733991,28,20210817220628,http://tong.visitkorea.or.kr/cms/resource/94/2734694_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/94/2734694_image2_1.JPG,126.4354619918,37.7764812534,6,20221005140305,1,,강화고인돌캠핑장,23014
48,인천광역시 강화군 동문안길 12-1 삼성양복점,,2,,A05,A0502,A05020100,2891607,39,20221031145519,http://tong.visitkorea.or.kr/cms/resource/18/2878018_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2878018_image3_1.jpg,126.4863053709,37.7471633481,6,20221031145536,1,,강화국수,23031
49,인천광역시 강화군 교동면 대룡리 535,,2,,A02,A0206,A02061400,2945611,14,20230128012332,http://tong.visitkorea.or.kr/cms/resource/91/2947791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2947791_image3_1.jpg,126.2813842845,37.7830750018,6,20230321100817,1,032-932-4021,강화군 교동초등학교,23002
50,인천광역시 강화군 중앙로 1222,,2,,A05,A0502,A05020100,2807606,39,20220218143924,,,126.3885210812,37.7044666089,6,20220218144325,1,,강화꽃게집,23054
51,인천광역시 강화군 길상면 해안동로 58,,2,,A03,A0302,A03022700,2754469,28,20211007185529,,,126.5322738013,37.6326636172,6,20230203112952,1,,강화나들 8코스,23049
52,인천광역시 강화군 삼산면 삼산북로 14,출발지점,2,,A03,A0302,A03022700,2791203,28,20211210014151,http://tong.visitkorea.or.kr/cms/resource/61/2791261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2791261_image2_1.jpg,126.3665567310,37.6935536080,6,20221216161634,1,,강화나들길11코스(석모도바람길),23006
53,인천광역시 강화군 강화읍 강화대로,,2,0,A01,A0101,A01011300,125502,12,20060302090000,http://tong.visitkorea.or.kr/cms/resource/73/1924973_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/1924973_image3_1.jpg,126.4877441465,37.7465023392,6,20221111171028,1,,강화도,23031
54,,,2,,C01,C0115,C01150001,1886027,25,20140117003255,http://tong.visitkorea.or.kr/cms/resource/38/1577838_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1577838_image3_1.jpg,126.5320377338,37.6318692610,8,20160928031457,1,,강화도 비운의 역사길을 걷다,
55,,,2,,C01,C0115,C01150001,1909304,25,20140329003305,,,126.2459246635,37.6459348327,6,20160928031409,1,,강화도 조용한 운치를 따라 능묘로 가는 길,
56,인천광역시 강화군 길상면 해안남로 497-4,,2,,A03,A0302,A03021700,2791856,28,20211211001208,http://tong.visitkorea.or.kr/cms/resource/92/2799392_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/92/2799392_image2_1.JPG,126.5093213411,37.5968701600,6,20230131160921,1,,강화도 크로바야영장,23051
57,인천광역시 강화군 내가면 황청포구로443번길 90,,2,,A03,A0303,A03030500,1516091,28,20111229000458,http://tong.visitkorea.or.kr/cms/resource/58/1575758_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/1575758_image3_1.jpg,126.3652812635,37.7146122396,6,20221018102328,1,,강화도 황청낚시터,23017
58,인천광역시 강화군 교동면 교동남로 275,,2,,A03,A0302,A03021700,2753104,28,20211006003200,http://tong.visitkorea.or.kr/cms/resource/68/2753368_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/2753368_image2_1.JPG,126.3007605687,37.7727820987,6,20221208174612,1,,강화도교동아일랜드카라반,23001
59,인천광역시 강화군 양도면 해안서로 508,,2,0,A01,A0101,A01010500,2755455,12,20211012183416,,,126.4023066798,37.6774172274,6,20230502193318,1,,강화도동부해안도로,23056
60,인천광역시 강화군 송해면 강화대로 891-10,,2,0,A02,A0204,A02040800,2599177,12,20190425193433,http://tong.visitkorea.or.kr/cms/resource/31/2672631_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2672631_image3_1.jpg,126.4455529675,37.7680713013,6,20221124132346,1,,강화도령 화문석 체험장,23019
61,인천광역시 강화군 해안남로1170번길 10-2,,2,,A05,A0502,A05020100,2872650,39,20221021150101,http://tong.visitkorea.or.kr/cms/resource/41/2872641_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2872641_image3_1.jpg,126.4557202691,37.6120313412,6,20221202151854,1,,강화도무스비,23059
62,인천광역시 강화군 강화읍 고비고개로 171,,2,,A03,A0302,A03021700,2734000,28,20210817221903,http://tong.visitkorea.or.kr/cms/resource/00/2734700_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/00/2734700_image2_1.JPG,126.4602273801,37.7409441693,6,20230126174651,1,,강화도산들애캠핑수영장,23028
63,인천광역시 강화군 길상면 해안남로 860-2,,2,,A03,A0302,A03021700,2734006,28,20210817222020,http://tong.visitkorea.or.kr/cms/resource/09/2734709_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/09/2734709_image2_1.JPG,126.4784292328,37.6145425578,6,20230109101851,1,,강화도아침,23051
64,인천광역시 강화군 중앙로787번길 8-1 관리소매점,,2,,A02,A0207,A02070200,2938676,15,20221222175030,http://tong.visitkorea.or.kr/cms/resource/75/2938675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2938675_image3_1.jpg,126.4312617608,37.6989596685,6,20230105100751,1,010-7617-6606,강화도왕방마을얼음축제,23055
65,,,2,,C01,C0113,C01130001,1977229,25,20141218015345,http://tong.visitkorea.or.kr/cms/resource/61/1890661_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1890661_image3_1.jpg,126.2617026050,37.7886351199,4,20211220203455,1,,강화도의 애환이 서린 교동도를 밟다,
66,인천광역시 강화군 양사면 전망대로 797,(양사면),2,0,A02,A0205,A02050600,631066,12,20081002023451,http://tong.visitkorea.or.kr/cms/resource/31/2657531_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2657531_image3_1.jpg,126.4329663820,37.8263253898,6,20230331105556,1,,강화도제적봉 평화전망대,23012
67,인천광역시 강화군 길상면 장흥로 217,(길상면),2,0,A03,A0302,A03022700,2612802,12,20190724222817,,,126.4981273568,37.6171759306,6,20230328095052,1,,강화루지(강화씨사이드리조트),23052
68,인천광역시 강화군 송해면 양오리 640-1번지,,2,,A03,A0302,A03021700,2792619,28,20211213190550,http://tong.visitkorea.or.kr/cms/resource/35/2799435_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/35/2799435_image2_1.JPG,126.4571650400,37.7949405919,6,20221201152733,1,,강화무지개글램핑,
69,인천광역시 강화군 강화읍 고비고개로19번길 12,,2,0,A02,A0206,A02060600,130219,14,20071106104721,http://tong.visitkorea.or.kr/cms/resource/47/1895147_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/1895147_image3_1.jpg,126.4746009394,37.7453439098,6,20230424111340,1,,강화문예회관,23028
70,인천광역시 강화군 강화읍 관청길 40,,2,0,A02,A0206,A02060200,2657498,14,20200526200600,http://tong.visitkorea.or.kr/cms/resource/31/1786431_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/1786431_image3_1.jpg,126.4855887017,37.7496074946,6,20230328094407,1,,강화문학관,23030
71,인천광역시 강화군 강화읍 남문로 52,,2,0,A02,A0206,A02060700,129867,14,20071106103340,http://tong.visitkorea.or.kr/cms/resource/32/1895132_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/1895132_image3_1.jpg,126.4879775686,37.7425639138,6,20221018094818,1,,강화문화원(강화미술관),23037
72,인천 강화군 강화읍 국화리 산3번지,"국화리, 신문리, 관청리, 남산리",2,1,A02,A0201,A02010200,125564,12,20060302090000,http://tong.visitkorea.or.kr/cms/resource/34/1579234_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1579234_image3_1.jpg,126.4838970101,37.7560400476,6,20220426170319,1,,강화산성,"417-800,1"
73,인천광역시 강화군 선원사지로 32,,2,,A05,A0502,A05020100,2836723,39,20220816110810,http://tong.visitkorea.or.kr/cms/resource/17/2836717_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2836717_image3_1.jpg,126.5099871131,37.7264328502,6,20220916140450,1,,강화섬약쑥한우,23042
74,인천광역시 강화군 강화남로 678,,2,,A05,A0502,A05020100,2836753,39,20220816114352,http://tong.visitkorea.or.kr/cms/resource/47/2836747_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2836747_image3_1.jpg,126.4230191316,37.6608250808,6,20220816114402,1,,강화손칼국수 본점,23057
75,인천광역시 강화군 강화읍 관청리,471,2,,A05,A0502,A05020100,2851722,39,20220907174222,,,126.4846110428,37.7485548221,6,20221004170943,1,,강화솥밥집,23031
76,인천광역시 강화군 내가면 해안서로 920,,2,,A05,A0502,A05020100,728954,39,20090428195746,http://tong.visitkorea.or.kr/cms/resource/91/1898991_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1898991_image3_1.jpg,126.3768888941,37.7016028506,6,20220721171521,1,032-933-2496,강화어부네꽃게탕,23054
77,인천광역시 강화군 하점면 강화대로 994-19,,2,0,A02,A0206,A02060100,129810,14,20071106103126,http://tong.visitkorea.or.kr/cms/resource/81/1876581_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/1876581_image3_1.jpg,126.4352815292,37.7737399035,6,20230105152349,1,,강화역사박물관,23014
78,인천광역시 강화군 내가면 강화서로416번길 53-37,,2,0,A02,A0201,A02010700,2765210,12,20211101182906,http://tong.visitkorea.or.kr/cms/resource/24/2780924_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/24/2780924_image2_1.png,126.4009025027,37.7323802364,6,20221209172423,1,,강화오상리고인돌군,23018
79,인천광역시 강화군 해안서로 172,인천 강화군 양도면 능내리 1026,2,,A05,A0502,A05020100,2862325,39,20220929181849,,,126.4101261900,37.6492456487,6,20220929181900,1,,강화왕새우 박문양식장,23057
80,인천광역시 강화군 해안남로 1367 전망대가든,1층,2,,A05,A0502,A05020100,2877991,39,20221027172521,http://tong.visitkorea.or.kr/cms/resource/84/2877984_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2877984_image3_1.jpg,126.4622367757,37.5962916217,6,20221027172531,1,,강화원조칼국수,23059
81,인천광역시 강화군 강화읍 북문길 42,,2,0,A02,A0201,A02010100,1614793,12,20120426024938,http://tong.visitkorea.or.kr/cms/resource/46/1575646_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/1575646_image3_1.jpg,126.4854359021,37.7508851202,6,20220802091703,1,,강화유수부동헌,23030
82,인천광역시 강화군 강화읍 북문길 42,,2,0,A02,A0201,A02010100,1615571,12,20120426190342,http://tong.visitkorea.or.kr/cms/resource/50/1575650_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1575650_image3_1.jpg,126.4846998401,37.7515350315,6,20221228182925,1,,강화유수부이방청,23030
83,인천광역시 강화군 내가면 해안서로 972,,2,,B02,B0201,B02010600,136605,32,20031222090000,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image3_1.jpg,126.3745584698,37.7045385779,6,20220913100759,1,032-933-8891,강화유스호스텔,23054
84,인천광역시 강화군 강화읍 강화대로 335,,2,,A04,A0401,A04011000,2907210,38,20221030145406,,,126.4925299374,37.7422612516,6,20221114110848,1,,강화인삼협동조합,23027
85,인천광역시 강화군 하점면 강화대로 994-33,,2,0,A02,A0206,A02060100,2523291,14,20171218225634,http://tong.visitkorea.or.kr/cms/resource/86/2523286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2523286_image2_1.jpg,126.4347260016,37.7745647975,6,20230422123644,1,,강화자연사박물관,23014
86,인천광역시 강화군 강화읍 해안동로1366번길 18,,2,0,A02,A0206,A02060100,2657495,14,20200526195909,,,126.5160613555,37.7336321177,6,20221020135353,1,,강화전쟁박물관,23027
87,인천광역시 강화군 강화읍 해안동로1366번길 18,,2,0,A02,A0201,A02010200,125567,12,20060302090000,http://tong.visitkorea.or.kr/cms/resource/19/688619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/688619_image3_1.jpg,126.5160196946,37.7335599037,6,20220516154403,1,,강화전적지,23027
88,인천광역시 강화군 내가면 해안서로 899-2,,2,,A04,A0401,A04010900,1249666,38,20110404224707,http://tong.visitkorea.or.kr/cms/resource/82/1946482_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/1946482_image3_1.jpg,126.3784665487,37.7007946382,6,20220916161349,1,032-933-2497,강화젓갈,23054
89,인천광역시 강화군 화도면 해안남로 2669,,2,,A03,A0302,A03021700,2732137,28,20210809191211,http://tong.visitkorea.or.kr/cms/resource/07/2799807_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2799807_image2_1.jpg,126.3739909790,37.6359437885,6,20220705150716,1,,강화캐라반캠핑장,23060
90,인천광역시 강화군 길상면 신촌로146번길 14-11,,2,,A03,A0302,A03021700,2734015,28,20210817222532,http://tong.visitkorea.or.kr/cms/resource/14/2734714_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2734714_image2_1.jpg,126.5163532044,37.6266084862,6,20221227190550,1,,강화캠핑파크,23049
